perturbation,level,mAP50,mAP50_95,precision,recall,f1
clean,0,0.7583635140950818,0.4354539593116415,0.7430771971795119,0.6956151295786811,0.7185632830442783
gaussian_blur,1,0.5407258126574263,0.2745295070501012,0.4744937653789145,0.5220282358637675,0.49712729465124816
gaussian_blur,2,0.293127307204275,0.12307103734036111,0.6959636721198185,0.29017612546146526,0.40958095866933386
gaussian_blur,3,0.2406745136671354,0.09232549389917911,0.67434519869509,0.2451972219863464,0.35963010658569583
gaussian_blur,4,0.22225227594156974,0.08757010126505986,0.646769350276283,0.2067717185651716,0.3133618637786895
motion_blur,1,0.6496051664605611,0.3617916160682518,0.7345038623306221,0.5409517110393736,0.6230418830550942
motion_blur,2,0.4987899285302406,0.27047867301896683,0.6879133058861152,0.4236539059419504,0.5243716365271327
motion_blur,3,0.40130632247826253,0.20673704769852355,0.6261619436423725,0.3442325726832564,0.44424269335840516
motion_blur,4,0.3442106575929828,0.16757050966049203,0.6124208390634323,0.2763878832940621,0.38088217438944955
gaussian_noise,1,0.47690713032564097,0.22825709783966144,0.5355384480282175,0.46511196621841044,0.49784687439617403
gaussian_noise,2,0.22599054209688188,0.1154217980902426,0.33364240993472866,0.24184758164408868,0.2804240252910416
gaussian_noise,3,0.09934140161309334,0.049881930971127766,0.3272159744944479,0.10737613553432618,0.16169270456376292
gaussian_noise,4,0.0868124812725875,0.04546733507476988,0.7090259451729448,0.06015156873451749,0.11089513695991277
brightness_shift,1,0.7486498815541945,0.42472299161825433,0.7470662412740144,0.6738715548881427,0.7085837127726167
brightness_shift,2,0.7248875360704411,0.4013555694846567,0.7202759351947104,0.6535423062517148,0.6852883178041843
brightness_shift,3,0.755769491380423,0.4243520341625694,0.7498141010679061,0.6814977849690785,0.7140255789130711
brightness_shift,4,0.7403761141746582,0.4094697556454571,0.771248846463513,0.6480880964511853,0.7043249304400733
contrast_reduction,1,0.745193222598509,0.4242982634688924,0.733307872108897,0.6808948526166642,0.706130099698573
contrast_reduction,2,0.6995481251799882,0.38586254519600227,0.699742081154395,0.6356965163106675,0.6661835357315449
contrast_reduction,3,0.5990479305052382,0.3254732406477487,0.6300650518056504,0.5341244225448928,0.5781415128308903
contrast_reduction,4,0.3659973218204344,0.19828973666876581,0.5390399996796905,0.257369094236685,0.34839440567581487
jpeg_compression,1,0.7303983849919843,0.4094196748325005,0.7400601006356656,0.6461191832564579,0.6899064692999995
jpeg_compression,2,0.6611848797567978,0.34622492199573734,0.6979934433441227,0.5948417399853873,0.6423024987112952
jpeg_compression,3,0.5933466792833032,0.30154857405029717,0.6159865268214859,0.5620617775681981,0.5877899589231422
jpeg_compression,4,0.3920390508935065,0.19975352394037182,0.5574973426113553,0.32973144490403405,0.4143788093805804
